aloadp,asolarp
5.3993,-3.1635
4.189,-0.83648
3.6313,-2.111
3.8651,-3.5357
4.1343,-3.341
2.9008,-2.9572
3.5073,-2.5333
4.2741,-2.5492
3.0133,-2.385
3.6639,-2.4027
3.0797,-2.265
3.8654,-1.5519
1.5946,-0.91099
1.5637,-1.1301
1.7527,-1.237
1.8341,-1.1602
1.6657,-1.1253
1.6372,-0.99691
1.4864,-0.84989
1.5926,-0.8404
1.6468,-0.85858
1.5223,-0.74343
1.5152,-0.77186
1.6505,-0.70436
1.4712,-0.57295
1.3985,-0.55142
1.3941,-0.50294
1.3132,-0.45717
1.4912,-0.51117
1.5015,-0.39845
1.4088,-0.39332
1.2624,-0.28388
1.2696,-0.31474
1.4038,-0.27006
1.5304,-0.34739
1.4475,-0.44577
1.382,-0.45378
1.4132,-0.54402
1.5026,-0.47327
2.3477,-0.37223
2.9749,-0.29146
1.688,-0.17651
1.8622,-0.14458
2.061,-0.11153
2.0591,-0.059107
2.0924,-0.06256
2.2889,-0.0032576
2.1383,-0.036008
1.2983,0
1.2155,-0.019178
1.2923,-0.013059
1.3898,0
1.4925,0
1.6245,-0.043676
1.4398,-0.027278
1.3819,-0.012639
1.2696,0
1.2726,-0.035264
1.2139,-0.05004
1.206,0
1.1622,0
1.2463,0
1.7628,-0.032958
1.2093,0
1.2104,-0.034703
1.3188,0
1.212,0
1.0332,0
1.0383,-0.048079
1.0394,0
1.0353,-0.0056247
0.89494,-0.0063067
0.91633,0
1.1555,-0.038464
1.2508,-0.038455
1.0474,0
0.7885,0
0.86867,0
0.86573,0
0.86493,0
0.84804,0
0.88703,-0.032021
1.0865,-0.0019004
1.2523,0
1.2821,-0.034912
1.161,-0.046774
1.1636,-0.026198
1.2479,-0.0070261
2.4474,0
2.1131,-0.025105
1.113,0
1.0297,-0.041688
0.90516,-0.048672
0.83977,-0.038888
0.73694,-0.036803
0.68819,-0.046744
0.8147,-0.0085675
0.95983,-0.023484
0.98323,-0.025132
0.92872,0
0.88432,-0.03244
0.86634,-0.012111
0.9458,0
0.96558,0
0.83371,0
0.93551,0
2.0405,0
1.1337,0
0.99911,-0.011246
0.78389,0
0.6572,-0.023299
0.62229,0
0.83156,0
0.81042,0
0.74317,-0.040778
0.68747,-0.037258
0.62517,-0.024495
0.77369,0
0.7688,-0.0073921
0.67378,-0.00033767
0.63863,-0.032168
0.56535,-0.027621
0.60964,-0.042497
0.58378,0
0.52339,0
0.51569,0
0.53671,0
0.69747,-0.018968
0.83889,0
0.70273,-0.015954
0.60953,0
0.63098,-0.030301
1.0612,-0.022464
1.1959,0
0.65724,-0.038506
0.66542,0
0.63898,0
0.63416,-0.030764
0.65516,-0.028021
0.79055,0
0.71517,-0.012184
0.63107,-0.050193
0.61867,-0.017883
0.55707,-0.044514
0.67172,0
0.75066,0
0.78644,-0.0079326
0.76485,-0.048556
0.66772,0
0.62382,0
0.74415,0
0.87402,0
0.6212,-0.049555
0.59524,-0.037748
0.48468,0
0.49607,-0.0069118
0.63619,0
0.60256,-0.0093846
0.60839,0
0.55277,-0.00025846
0.65818,0
0.80735,-0.046912
0.78443,0
0.68612,-0.03333
0.52528,0
0.53879,-0.030789
0.61665,-0.026208
0.5188,-0.014014
0.65104,-0.11474
0.81792,-0.11384
0.77832,-0.18489
0.89374,-0.27583
0.94228,-0.23493
0.61182,-0.16978
0.61899,-0.33272
0.61805,-0.37189
0.62287,-0.36928
0.74592,-0.42239
0.75109,-0.48983
0.64654,-0.5079
0.59823,-0.3874
0.67689,-0.4751
0.84131,-0.61384
0.82651,-1.0586
0.62611,-1.0631
0.60324,-0.53947
0.60427,-0.75524
0.75621,-1.2268
1.2546,-1.2267
0.87486,-1.2967
0.55819,-1.4958
1.2019,-1.6071
1.8057,-1.2548
1.2679,-1.976
1.1063,-2.1681
1.0745,-2.2835
1.0632,-2.4975
1.1473,-2.5823
1.3369,-2.7156
1.3276,-2.8547
1.176,-2.993
1.1356,-3.1876
1.3596,-3.2789
1.4153,-3.3872
1.3021,-3.5122
1.1687,-3.6591
1.1603,-3.8376
1.2604,-3.9528
1.2565,-3.9981
1.1656,-4.1638
1.0717,-4.2811
1.0364,-4.2894
1.5341,-4.446
1.3133,-4.5403
1.2743,-4.6022
1.1678,-4.7704
1.1514,-4.8
1.2138,-4.9283
1.5216,-5.003
1.5416,-5.1215
1.3529,-5.2011
1.5576,-5.1971
1.5488,-5.2843
1.3674,-5.3403
1.3559,-5.4537
1.5457,-5.4785
1.7327,-5.4684
1.7475,-5.5945
1.8428,-5.6322
2.0151,-5.6926
1.7522,-5.6938
2.0854,-5.7438
1.7971,-5.8158
1.9471,-5.8401
1.7914,-5.904
2.2602,-5.999
2.2443,-5.9897
2.2143,-5.8329
1.9011,-5.8089
1.6014,-5.7023
1.2117,-5.668
2.1061,-5.6191
1.6199,-5.677
2.1116,-5.7342
1.7849,-5.7906
2.3701,-5.7644
3.6085,-5.7526
6.022,-5.7695
4.6165,-5.8242
2.4135,-5.7171
2.0987,-5.7663
2.2641,-5.7775
2.2215,-5.7554
2.3411,-5.708
2.0995,-5.8109
2.1344,-5.8822
1.6349,-5.8755
1.6822,-5.8805
2.7414,-5.7889
3.0526,-5.816
1.4633,-5.72
1.4806,-5.7466
1.5892,-5.9068
1.8777,-5.8488
1.8624,-5.7748
2.0739,-5.8182
1.6882,-5.7623
2.0992,-5.7189
2.0497,-5.679
1.7324,-5.4487
1.578,-5.2935
1.6779,-5.3181
1.6778,-5.2368
1.6696,-5.0966
1.6102,-5.0545
1.3798,-4.8424
1.6661,-4.6551
2.1729,-4.5725
1.5438,-1.9692
1.6815,-4.2171
6.8188,-3.0717
7.4969,-2.8302
7.1834,-2.4893
7.8025,-2.6151
7.7146,-2.6159
7.2377,-2.4044
7.4922,-2.6248
6.3364,-2.7602
4.7078,-2.8101
3.672,-0.72518
3.1464,-1.8397
3.4743,-3.1711
3.6632,-2.9681
2.624,-2.5908
3.0988,-2.1895
3.7446,-2.25
2.6499,-2.0683
3.2568,-2.1224
2.6851,-2.0735
3.3945,-1.3461
1.3973,-0.73679
1.3263,-0.97217
1.6099,-1.0928
1.5863,-1.0185
1.5472,-0.99822
1.4473,-0.87521
1.3176,-0.6737
1.3523,-0.69375
1.4404,-0.7317
1.4948,-0.60698
1.593,-0.65485
1.8425,-0.57774
1.8586,-0.48546
1.9691,-0.40788
1.8448,-0.41372
1.7699,-0.43969
2.0014,-0.38862
1.9989,-0.35612
1.9666,-0.24653
1.7948,-0.20522
1.7147,-0.20291
1.9341,-0.19443
2.0057,-0.31016
1.9648,-0.32765
1.8393,-0.37826
1.8325,-0.44539
2.0576,-0.34685
3.2566,-0.30188
4.0341,-0.17361
2.3162,-0.1777
2.5677,-0.093703
2.8376,-0.12856
2.7709,-0.093227
2.8579,-0.023436
3.1921,-0.039222
2.8944,-0.044384
1.8116,0
1.6789,0
1.7296,-0.028663
1.8506,0
2.0376,0
2.1099,-0.0071879
1.9659,0
1.8977,0
1.7177,-0.0052724
1.7043,-0.006856
1.7047,-0.017893
1.7197,0
1.5499,0
1.7476,0
2.3801,0
1.7157,-0.0054502
1.6866,0
1.8247,0
1.7302,-0.033633
1.4692,0
1.5167,-0.043803
1.4526,0
