,0,aloadp,asolarp,abatteryp
1514744400,0.568599993475,0.568808326803677,-0.00020833332867700009,0.0
1514744700,0.519199991412,0.519199991412,0.0,0.0
1514745000,0.505199993178,0.50644999315006,-0.00124999997206,0.0
1514745300,0.560799999237,0.560799999237,0.0,0.0
1514745600,0.700199995264,0.700616661921353,-0.00041666665735300016,0.0
1514745900,0.679599994421,0.679599994421,0.0,0.0
1514746200,0.5698000139,0.570008347228677,-0.00020833332867700009,0.0
1514746500,0.48040001452,0.48060834784867695,-0.00020833332867700009,0.0
1514746800,0.469800008796,0.47852341285634,-0.00872340406034,0.0
1514747100,0.510600008518,0.5399750078614001,-0.0293749993434,0.0
1514747400,0.448000006005,0.49672340992430003,-0.0487234039193,0.0
1514747700,0.505518372913,0.5670077338352,-0.0614893609222,0.0
1514748000,0.603333344316,0.704791676895,-0.101458332579,0.0
1514748300,0.566000015632,0.718857159444,-0.152857143812,0.0
1514748600,0.5748392255520001,0.8058808922930001,-0.231041666741,0.0
1514748900,0.625257136834,0.808661394474,-0.18340425764,0.0
1514749200,0.332929414815,0.524729416377,-0.191800001562,0.0
1514749500,0.265000004545,0.526250004371,-0.261249999826,0.0
1514749800,0.20460000127600003,0.55055744915,-0.345957447874,0.0
1514750100,0.23661632580399994,0.5578663236679999,-0.321249997864,0.0
1514750400,0.283364708564,0.6447932801630001,-0.3614285715990001,0.0
1514750700,0.231800004244,0.653883333653,-0.422083329409,0.0
1514751000,0.15239999592300002,0.564691658691,-0.412291662768,0.0
1514751300,0.16127755094499996,0.5389371279490001,-0.3776595770040001,0.0
1514751600,0.11280391934999995,0.578314121047,-0.465510201697,0.0
1514751900,0.24940000832100007,0.795650002708,-0.546249994387,0.0
1514752200,0.0195999979973,0.7570468086513,-0.906382980499,0.16893616984499998
1514752500,0.021400007605599958,0.6051500171416,-0.939375005662,0.355624996126
1514752800,0.03460000455379997,0.5399191503198,-0.505319145766,0.0
1514753100,0.06320000588889996,0.5242969450099,-0.633750001124,0.172653062003
1514753400,0.05800001084799994,0.64365477516,-1.04857142847,0.462916664158
1514753700,0.3568000173570001,1.1410553393490002,-1.0687234072,0.284468085208
1514754000,0.07180000841620005,0.7731350484912,-1.14541666706,0.444081626985
1514754300,0.007200005128980003,0.5016414748499799,-1.30124999086,0.806808521139
1514754600,0.2397999994079999,1.126883347292,-1.450833338,0.563749990116
1514754900,0.8371959126500002,1.5922639328190002,-1.1283333227,0.373265302531
1514755200,-0.007403913315600197,1.1394710919044,-1.7216666638900002,0.57479165867
1514755500,0.017130613155199925,1.0071306290301998,-1.89957447001,0.909574454135
1514755800,0.016733332483799934,0.9465249866338002,-2.0672916621,1.13750000795
1514756100,0.003199998140339888,0.9484312541903398,-2.21586959258,1.27063833653
1514756400,0.019800002798399996,1.0341749592884002,-2.34104164938,1.32666669289
1514756700,0.010800005197499907,1.1838178110775002,-2.44408167138,1.2710638655
1514757000,0.0092000117897999,1.1603214163598001,-2.56382974665,1.41270834208
1514757300,0.030800001025200086,1.0687876526852,-2.69340430422,1.65541665256
1514757600,0.043000003695500055,1.0526364806455002,-2.81708329916,1.80744682221
1514757900,0.05179999530320001,1.250371477793201,-2.9455102560500004,1.7469387735599995
1514758200,0.043799993991900044,1.2697573901718997,-3.05787230045,1.8319149042700005
1514758500,0.02900000005960024,1.1687959797396001,-3.1706122962800003,2.0308163166
1514758800,0.023665311883899864,1.0628319560939004,-3.28041664759,2.24125000338
1514759100,0.04328235373919975,1.0322274575491999,-3.3893617214,2.40041661759
1514759400,0.025200000107299836,1.1279083124773004,-3.4843750099300004,2.38166669756
1514759700,0.03360001266000001,1.09864429716,-3.5821276015400003,2.5170833170400004
1514760000,0.025000009760300035,1.0796258429802998,-3.68795923311,2.63333339989
1514760300,0.018400003388499897,0.9658468417284999,-3.7780850796,2.83063824126
1514760600,0.024599993079899907,0.9675165602098997,-3.85833329956,2.91541673243
1514760900,0.09360000796620005,1.4047170704061998,-3.96361706105,2.65249999861
1514761200,0.0024000114202502587,1.1773025422702499,-4.04958341519,2.87468088434
1514761500,0.023600007295599745,1.1781833471855985,-4.1168750425199985,2.96229170263
1514761800,0.019253063408700033,1.0686058073486997,-4.20893615357,3.15958340963
1514762100,0.016286276707500047,1.0537863303475001,-4.31750002503,3.27999997139
1514762400,0.014200001359000236,1.135016353779,-4.40714283379,3.28632648137
1514762700,0.010600003004100245,1.3678341106941,-4.47638295559,3.1191488479
1514763000,-0.46820001840600023,1.3632583614140004,-4.55020844936,2.71875006954
1514763300,-0.6542000052330001,1.263716625477,-4.59395835797,2.67604172726
1514763600,-0.6235999953749998,1.3745249915049997,-4.66833328207,2.67020829519
1514763900,-0.6999999919530002,1.3693750263270001,-4.73687498768,2.6674999694
1514764200,-1.2610000023199999,1.2655958133799998,-4.79340433567,2.26680851997
1514764500,-1.98239998251,1.2173917394900005,-4.81916670998,1.6193749879799997
1514764800,-3.4305999365400006,1.4283584170599997,-4.8589583536,0.0
1514765100,-3.36619997799,1.5317166668200004,-4.89791664481,0.0
1514765400,-3.392200014,1.5484382238099998,-4.94063823781,0.0
1514765700,-3.29640007019,1.68508926351,-4.9814893337,0.0
1514766000,-3.23780004323,1.7974084005700002,-5.0352084438,0.0
1514766300,-3.47680001199,1.6004917150800004,-5.07729172707,0.0
1514766600,-3.27579992324,1.84232507835,-5.11812500159,0.0
1514766900,-3.48207339574,1.6655861292199998,-5.14765952496,0.0
1514767200,-3.43521958363,1.7599886579100006,-5.1952082415400005,0.0
1514767500,-3.60832658214,1.6502151111499996,-5.25854169329,0.0
1514767800,-3.30720396384,2.0015460794699997,-5.30875004331,0.0
1514768100,-3.23487353742,2.0686682420999998,-5.30354177952,0.0
1514768400,-3.2323333783,2.06617733548,-5.29851071378,0.0
1514768700,-3.5054000586300003,1.78334997395,-5.28875003258,0.0
1514769000,-3.75840001047,1.5461833900200004,-5.30458340049,0.0
1514769300,-4.18900003642,1.1424583533399995,-5.33145838976,0.0
1514769600,-3.36820006043,2.0047165982900004,-5.37291665872,0.0
1514769900,-3.88180001676,1.52903326253,-5.41083327929,0.0
1514770200,-3.40620007038,2.0058832474600004,-5.4120833178400005,0.0
1514770500,-3.7633999866199987,1.745375568740001,-5.50877555536,0.0
1514770800,-3.17359996736,2.3274638259000002,-5.50106379326,0.0
1514771100,-1.9980000454200004,3.5005415704834006,-5.475624948740001,-0.022916667163400004
1514771400,0.20200000941799992,5.810333291589,-5.4904166162,-0.117916665971
1514771700,-1.1685999916499998,4.4232750312443,-5.54354168971,-0.0483333331843
1514772000,-3.17419994056,2.3060082974100005,-5.48020823797,0.0
1514772300,-3.4594163346699993,2.033349589090001,-5.49276592376,0.0
1514772600,-3.3190274347,2.16743084698,-5.48645828168,0.0
1514772900,-3.30140001774,2.1615165650799995,-5.462916582819999,0.0
1514773200,-3.15940001905,2.3093232983599994,-5.468723317409999,0.0
1514773500,-3.4933999872199992,2.005141646070001,-5.49854163329,0.0
1514773800,-3.53099992901,2.038791775409999,-5.569791704419999,0.0
1514774100,-3.9503999722000014,1.6036426511999986,-5.5540426234,0.0
1514774400,-3.87878772866,1.6710040246300002,-5.54979175329,0.0
1514774700,-2.87830580945,2.617527478190001,-5.495833287640001,0.0
1514775000,-2.52873461693,2.9699888088299997,-5.49872342576,0.0
