aloadp,asolarp
8,-2.2285
7.5025,-2.3037
5.8462,-0.64537
5.0074,-1.4829
5.4334,-2.5644
5.6993,-2.4159
4.0802,-2.0758
4.9078,-1.7155
5.9403,-1.7928
4.1659,-1.6555
5.1828,-1.6781
4.2164,-1.6051
5.2994,-1.105
2.1999,-0.63612
2.1238,-0.84712
2.4376,-0.88029
2.4628,-0.79805
2.4198,-0.83539
2.3589,-0.7389
2.059,-0.62068
2.1889,-0.57748
2.2243,-0.56568
2.0893,-0.4237
2.0186,-0.51655
2.2127,-0.38927
2.0863,-0.28383
2.0238,-0.28493
1.8274,-0.21711
1.8018,-0.26708
2.0918,-0.21446
2.0638,-0.22513
1.9676,-0.18707
1.831,-0.16957
1.8105,-0.13832
1.9954,-0.10134
2.0673,-0.13655
1.9736,-0.20442
1.892,-0.20748
1.922,-0.27622
2.0853,-0.1901
3.2863,-0.19525
4.0273,-0.11694
2.3148,-0.057162
2.5791,-0.066382
2.8464,-0.023303
2.8089,-0.011649
2.8717,-0.031078
3.1831,-0.012596
2.9284,-0.010264
1.861,0
1.6976,0
1.7725,-0.025116
1.8234,0
2.051,-0.0057782
2.1917,-0.043224
1.9722,0
1.8296,-0.039949
1.784,-0.025637
1.711,-0.0050777
1.6871,-0.027182
1.6703,-0.034514
1.6085,0
1.8075,-0.049494
2.3726,0
1.7342,0
1.7261,-0.020479
1.8749,-0.0078475
1.7431,0
1.4745,0
1.5,-0.017317
1.4566,0
1.3647,0
1.3254,0
1.3424,-0.0046724
1.5812,0
1.6856,0
1.4145,-0.0084486
1.1258,0
1.2277,-0.015787
1.2601,0
1.2359,-0.039264
1.1115,-0.049789
1.2377,0
1.4913,-0.013081
1.7544,0
1.7579,0
1.677,-0.021108
1.6657,0
1.7839,-0.006474
3.2913,0
2.8941,0
1.6016,-0.024267
1.3853,0
1.2172,0
1.1247,0
0.99398,-0.026067
0.9257,-0.038077
0.9112,-0.037447
1.2277,-0.0074292
1.2129,-0.012456
1.0604,-0.043668
1.0416,-0.032012
1.1204,0
1.2233,-0.041797
1.2094,0
1.0217,-0.0039705
1.1028,-0.040454
2.4876,0
1.4568,0
1.1971,-0.00034435
0.9867,0
0.81073,-0.024218
0.80432,-0.015465
0.93529,-0.022884
1.0317,0
0.84427,0
0.84122,0
0.84196,0
0.91834,-0.011149
0.92922,-0.023138
0.81437,-0.017101
0.77186,-0.017374
0.68891,0
0.80033,-0.031609
0.80791,-0.032227
0.66401,0
0.58342,-0.00034036
0.70208,-0.032339
0.94253,0
1.0342,0
0.8191,0
0.74504,-0.0091747
0.73676,0
1.3435,0
1.4398,0
0.73428,-0.042668
0.78868,-0.013467
0.70372,-0.0056189
0.73559,0
0.83581,-0.048885
0.94957,0
0.82823,-0.016186
0.78545,-0.012811
0.70323,0
0.68388,-0.022919
0.80338,0
0.9028,-0.035223
0.92334,0
0.98621,0
0.82802,0
0.74138,-0.0094313
0.96468,-0.022715
1.045,0
0.71854,-0.040098
